Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),,,,,,,,,,,,15.78947368,23.07692308,46.15384615,51.35135135,35.48387097,8.333333333,17.24137931,14.28571429,37.77777778,41.17647059,36.36363636,38,50.70422535,48.71794872,18.18181818,32.87671233,35.13513514,28.76712329,7.01754386,22.72727273,23.42342342,12.5,14.84375,20,19.54022989,16.57458564,13.94230769,13.76146789,34.34343434,35.62091503,37.87878788,23.86363636,26.48083624,24.43609023,33.00330033,24.69635628,31.1023622,25.96491228,22.58064516,29.48402948,32.64367816,34.5603272,,,
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",,,,,,,,,,,,5.263157895,3.846153846,2.564102564,2.702702703,6.451612903,8.333333333,6.896551724,7.142857143,6.666666667,9.803921569,9.090909091,10,8.450704225,7.692307692,10.90909091,9.589041096,9.459459459,8.219178082,12.28070175,11.36363636,9.90990991,10.71428571,10.9375,10,10.34482759,10.49723757,10.09615385,10.09174312,7.407407407,7.516339869,5.757575758,7.954545455,6.620209059,7.894736842,6.930693069,8.502024291,6.692913386,9.122807018,9.970674487,8.353808354,7.816091954,7.566462168,,,
CO2 emissions from transport (% of total fuel combustion),,,,,,,,,,,,31.57894737,23.07692308,17.94871795,16.21621622,22.58064516,33.33333333,31.03448276,32.14285714,24.44444444,31.37254902,34.09090909,34,25.35211268,26.92307692,38.18181818,31.50684932,31.08108108,31.50684932,43.85964912,38.63636364,36.03603604,38.39285714,37.5,34.375,35.63218391,35.35911602,35.09615385,34.86238532,25.92592593,26.79738562,22.42424242,29.54545455,27.17770035,31.20300752,27.39273927,35.62753036,35.43307087,46.31578947,50.73313783,47.17444717,44.59770115,43.76278119,,,
"Fish species, threatened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
"Plant species (higher), threatened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
"Mammal species, threatened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
Population density (people per sq. km of land area),,71.43463636,72.56686014,73.73836364,74.96495105,76.25878322,77.62707692,79.0709021,80.58833566,82.17422378,83.82499301,85.54163636,87.32716783,89.18201399,91.10662937,93.10130769,95.16552448,97.29912587,99.50308392,101.7787133,104.1264336,106.5545594,109.063021,111.6345874,114.2455734,116.8834615,119.5241888,122.1827832,124.9317343,127.8701678,131.0607552,134.5267273,138.2207692,142.0467622,145.8700769,149.5867483,153.1645734,156.6101189,159.9055664,163.0423287,165.6096617,168.4055877,171.0287339,173.483781,175.7804674,177.9340565,179.9396163,181.8180607,183.6427136,185.5086571,187.4845483,189.6005371,191.841751,194.1749634,196.5449878,
Population living in areas where elevation is below 5 meters (% of total population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,
Population in largest city,119177,121084,123745,126464,129247,132083,134985,137951,140987,144081,147247,150568,157460,164647,172173,180043,188284,196878,205878,215288,225143,235498,249635,264621,280529,297346,315196,334117,354203,375436,397973,421746,442071,463314,485610,508978,533506,559143,586051,614253,643854,674385,702259,731284,761551,792983,825758,859888,895478,932437,970976,1011108,1052899,1096417,1141733,
Population in the largest city (% of urban population),34.05232269,33.19343281,33.01460171,32.83124867,32.62956193,32.41141539,32.1695404,31.91300848,31.63711353,31.3507174,31.05133856,30.73380825,30.03603332,29.34852747,28.66673771,27.99868127,27.33765527,26.68779517,26.05611967,25.43329384,24.82405412,24.23991024,24.19337644,24.14971636,24.11356357,24.08594102,24.07465682,24.07205543,24.06698747,24.0393044,23.98310462,23.88161628,23.3340723,22.79769953,22.29469993,21.83949722,21.4288612,21.06034109,20.73395346,20.44526355,20.19275913,20.00094906,20.0825885,20.19057916,20.32312539,20.47620462,20.65364172,20.85190648,21.0625525,21.27263921,21.47670483,21.67160924,21.85553208,22.03383802,22.21307162,
Population in urban agglomerations of more than 1 million,119177,121084,123745,126464,129247,132083,134985,137951,140987,144081,147247,150568,157460,164647,172173,180043,188284,196878,205878,215288,225143,235498,249635,264621,280529,297346,315196,334117,354203,375436,397973,421746,442071,463314,485610,508978,533506,559143,586051,614253,643854,674385,702259,731284,761551,792983,825758,859888,895478,932437,970976,1011108,1052899,1096417,1141733,
Population in urban agglomerations of more than 1 million (% of total population),1.185021893,1.185337116,1.192486004,1.199326365,1.205663663,1.211214373,1.216007463,1.220034529,1.223406674,1.2261259,1.228391753,1.230889566,1.260912163,1.29104241,1.321536096,1.352335417,1.383559158,1.414986228,1.446896153,1.479199767,1.512033515,1.54553608,1.600633547,1.657637249,1.717126712,1.778987917,1.844118629,1.912284576,1.982638015,2.053197097,2.123464012,2.192332176,2.236570967,2.280909463,2.328012844,2.37941312,2.435818613,2.496703876,2.562924376,2.634576898,2.712089585,2.793532365,2.864379361,2.940556277,3.022252048,3.108902484,3.201314211,3.299188804,3.401602184,3.506369012,3.612811622,3.720148583,3.828651936,3.938989576,4.052330734,
Pump price for diesel fuel (US$ per liter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,0.22,,,0.24,,0.37,,0.34,,0.49,,0.73,,0.82,,0.91,,1.09,,1.04,
Pump price for gasoline (US$ per liter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,0.52,,,0.59,,0.63,,0.66,,0.72,,0.94,,1.13,,1.18,,1.44,,1.31,
GEF benefits index for biodiversity (0 = no biodiversity potential to 100 = maximum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.247763257,,,2.14366837,,,,,,,
"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75513462,,,,,0.915079704,,,,,,1.197260152,,
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47,,,,,98.14,,,,,,98.14,,
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.114,,,,,1.554,,,,,,1.554,,
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4225,,,,,0.3106,,,,,,0.3106,,
"Annual freshwater withdrawals, total (billion cubic meters)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.562,,,,,9.497,,,,,,9.497,,
"Annual freshwater withdrawals, total (% of internal resources)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.824419778,,,,,4.791624622,,,,,,4.791624622,,
"Renewable internal freshwater resources, total (billion cubic meters)",,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,,,,,198.2,198.2,,
Renewable internal freshwater resources per capita (cubic meters),,,19099.82027,,,,,17528.74887,,,,,15871.50964,,,,,14244.87603,,,,,12708.37699,,,,,11343.77487,,,,,10027.53778,,,,,8850.092165,,,,,8084.196705,,,,,7604.469663,,,,,7207.137757,7120.536565,,
Terrestrial protected areas (% of total land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.701998888,8.699464064,14.02360692,14.02360692,14.02360692,14.02360692,14.5412167,14.70941404,16.99792279,16.99792279,17.00929965,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.38485982,,16.38485982,,,
Marine protected areas (% of territorial waters),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrestrial and marine protected areas (% of total territorial area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.701998888,8.699464064,14.02360692,14.02360692,14.02360692,14.02360692,14.5412167,14.70941404,16.99792279,16.99792279,17.00929965,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.99792279,16.38485982,,16.38485982,,,
Bank nonperforming loans to total gross loans (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Automated teller machines (ATMs) (per 100,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.385692684,7.5027172,8.468805033,,
Bank capital to assets ratio (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercial bank branches (per 100,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.609539563,2.559870472,2.614669106,3.598254175,3.58027969,4.707659974,5.194248797,7.385692684,8.429257578,8.570498489,,
"Borrowers from commercial banks (per 1,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5542061,,,,,
"Depositors with commercial banks (per 1,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.6986204,,,,,
"Point-of-sale terminals (per 100,000 adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic credit to private sector by banks (% of GDP),1.040537078,1.213915648,1.227709163,1.167677643,1.42146125,1.833273864,1.619626527,1.826968015,2.141363387,2.275516622,2.739507299,3.715596164,3.43716835,4.603269953,4.719706618,4.285800547,3.529377967,4.684606481,5.604601435,6.269187458,8.396642902,8.995495726,8.454885981,7.907879147,8.199543219,9.30687331,10.25016151,10.14828385,11.56905833,12.81878368,12.47099095,12.95458033,13.09025213,14.26361836,18.29765346,22.58190943,22.83838128,23.3645143,28.21230202,28.44902291,30.28106291,29.08377669,22.50918264,25.81266795,26.55397925,28.21497492,32.61416286,36.77121883,51.19786815,58.77492981,54.21260718,52.49930465,55.71320135,57.79480621,62.76737535,
Bank liquid reserves to bank assets ratio (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41826689,19.87124555,10.88346674,9.876417532,10.56091243,11.10347701,12.40643297,12.51927261,10.6917498,10.73421977,14.87015606,11.84960144,14.56476478,11.46941674,
"Total reserves (includes gold, current US$)",19273663.6,24149979.65,24045769.17,36256169.6,49119654.4,59519654.4,44983566.82,46384505.6,65316279.5,83753427.2,94202508.28,102268037,107173163.8,132121731.5,145577565,113974576.4,145042571,161385886.3,178077032.7,235268986.5,271948960.2,262066272.4,268378950.4,191064639,128600060.2,105467411.6,145886789.9,251413391.1,282826502,272846692.4,354107111.2,450982953.9,518336183.5,699898122.1,752158932.8,645536775.6,627771694.1,670587734.9,800272118,889429660.6,987342059.5,1079959915,1070003789,1286240898,1529100003,1565203547,1935487661,2014032867,2457914118,2819466120,3002724550,3702502404,4417738502,5434181437,6216255232,
Total reserves (% of total external debt),,,,,,,,,,,,1116.707108,870.8309401,657.1912629,528.3355048,335.0616664,292.5661026,160.5350505,158.1782134,160.7599602,132.9550705,94.09649719,76.05668719,42.22488281,27.34094745,17.87968115,19.6110754,25.49916895,24.26845379,20.12271371,21.76591819,25.54660783,28.8243502,34.93797467,32.41410495,26.78635851,26.17772525,27.78468156,29.96576893,29.345756,34.30769069,39.36521652,35.65051257,39.98841295,45.38238474,49.04875178,56.85153186,55.71284912,66.47285153,74.62004378,79.25392986,96.72224535,115.9008572,141.7897115,,
Total reserves in months of imports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.701434348,7.665498427,6.457351726,6.619582999,6.565362481,6.010521566,6.744538651,7.606553327,8.559832465,,
Total reserves minus gold (current US$),17400000,22300000,22200000,33200000,46060000,56460000,41680000,43080000,54200000,75540000,88700000,96093126.7,98358835.19,117517782,121313542,95727911.19,127511461.3,139487949,145081710.7,159160186.5,182755252.2,201922932.4,199248152.8,133345596.5,81955811.7,55993946.59,86745574.4,178171481.6,220278146,211574694.4,295279881.2,396953581.1,467416250,640207584.9,693599099.3,586439828.6,571350294.1,626242271.4,756293401.5,845076558.1,945404452.8,1037710715,1017630218,1222483429,1462174041,1498984994,1935487661,2014032867,2457914118,2768556632,2936928426,3630831208,4306561137,5293479793,6027138368,
Claims on central government (annual growth as % of broad money),,-3.101145038,1.833788529,-5.474315711,-7.221724858,4.276158624,9.649790636,1.493074294,-34.32513298,-5.487465181,1.029921943,14.57314697,6.106577936,1.579147322,4.235320631,6.881712917,13.92538742,9.028979239,2.366987227,5.065717415,4.487588848,1.46743111,17.0461569,22.20869786,11.27680682,13.50643297,6.975591624,4.911235693,7.064148703,9.635873054,6.162017925,8.15933261,7.881077489,4.594592939,-2.510308504,3.315272853,2.072502189,3.169096399,0.572335565,2.996300488,2.634971326,5.986759477,-0.945028106,2.638955682,2.768533572,1.227814793,0.772268532,4.671412598,2.520258889,-1.646578451,6.234454209,3.692344725,-1.072164787,0.194288836,-1.952518891,
Claims on other sectors of the domestic economy (annual growth as % of broad money),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.35295513,11.1292797,8.901672366,6.99422278,12.60563244,14.71418726,34.26844463,26.94042308,8.920463259,8.760927663,13.66117986,10.47046256,17.02102993,
Net domestic credit (current LCU),40600000,44500000,54000000,40700000,34900000,83500000,160700000,169300000,-4000000,-5900000,72800000,287762403,388394309,540353190,938573390.5,1334339482,1462100000,1872200000,2584100000,3199500000,4049420367,4802622385,6013000000,8023500000,9566700000,12618400000,15191700000,16924700000,20710800000,25239700000,28916300000,34208700000,41204500000,49374610000,58867900000,74438300000,83858950000,95827449518,1.15286E+11,1.32302E+11,1.54718E+11,1.88453E+11,1.6275E+11,1.94905E+11,2.24946E+11,2.48879E+11,2.91615E+11,3.64062E+11,5.2702E+11,6.82579E+11,8.03389E+11,9.12183E+11,1.0427E+12,1.16968E+12,1.38797E+12,
Net foreign assets (current LCU),168800000,212800000,210100000,305200000,408200000,483700000,361500000,498300000,688400000,922600000,941312500,1043443233,1152183648,1377271480,1277383003,1383848890,1785235558,1958297951,1944931949,2124826501,2322043120,2915368768,2783596662,2750547531,2868432887,1801904155,2006527181,3815212975,5958129457,7697534966,11685121233,19795393102,23094625000,33113427829,37395488250,38933997528,38918649512,65681058645,60573662060,69592709315,88978459884,96612248048,96849026697,99918635984,1.18862E+11,1.3203E+11,1.62127E+11,1.55902E+11,2.2751E+11,2.40877E+11,2.41508E+11,3.38477E+11,3.93901E+11,5.70765E+11,6.64646E+11,
Claims on private sector (annual growth as % of broad money),,4.389312977,1.989855638,0.824896888,5.461056401,7.357859532,3.330795584,-0.071955388,5.934175532,4.721448468,6.374674761,9.942472593,1.94042088,8.815963832,9.01569534,5.475609123,-4.65320863,7.089821223,8.875457766,7.485313153,12.35253743,9.262470114,2.533586897,0.740458983,6.431526511,11.62782025,10.11878949,5.050092138,12.66490346,11.20967882,5.730558315,9.925063655,9.744902354,10.43793235,18.56329519,18.1051588,9.238451111,9.89843189,15.87108453,9.304493785,10.75207907,6.922116831,-10.90439761,10.11033198,6.512127041,8.200433204,14.87618363,14.58523993,33.85523133,26.59078429,8.315792696,8.325019303,12.86970708,10.61291488,16.03807136,
Broad money (current LCU),209600000,256300000,266700000,335100000,418600000,525400000,555900000,601600000,718000000,922400000,921300000,1097700000,1282900000,1643800000,1924900000,2159800000,2774400000,3358700000,4017200000,4662200000,5479100000,6520400000,7887000000,9475200000,10726000000,12913600000,15411600000,18867100000,23052400000,27882100000,33108100000,40631500000,48961900000,61211600000,72220300000,83363000000,93534900000,1.21168E+11,1.34717E+11,1.63924E+11,1.94816E+11,2.27497E+11,2.33546E+11,2.57409E+11,2.91091E+11,3.19454E+11,3.73713E+11,4.42957E+11,6.15007E+11,7.97171E+11,8.73613E+11,1.03672E+12,1.19074E+12,1.44863E+12,1.68244E+12,
Broad money (% of GDP),5.411825598,6.323710988,6.097393551,7.259532062,8.333664974,9.378793456,8.046026688,9.378020119,10.00975854,11.55165951,10.50752737,12.28127043,12.37245588,16.4891156,15.02888878,13.0336131,15.95032779,19.4369213,20.3588072,20.98672059,23.46409248,23.87812666,25.45178845,28.06635071,27.23026211,27.71991585,27.6570239,29.54262182,29.9747744,31.23379897,32.01448519,32.82000953,32.0610892,34.84227183,36.24207114,38.03490362,37.5773463,43.19522673,44.77937144,47.92581083,51.33647424,51.52589583,50.83245038,52.29433504,54.23225475,54.19872632,57.13533566,60.86018588,75.40009579,80.66311212,73.24216062,75.84152262,77.96140403,85.58385662,87.24022847,
Broad money to total reserves ratio,1.427345245,1.39294467,1.455748565,0.995035334,0.841683647,1.158595124,1.621977459,1.702303235,1.183447511,1.087731423,0.965925369,1.060104584,1.182256531,1.213209095,1.257370169,1.802000806,1.597632096,1.664928738,1.83397234,1.651372212,1.678960884,2.073394114,2.271707807,3.594766024,5.465563818,6.885899052,5.404472644,3.474953319,3.695634191,4.035462667,3.279641619,2.853830314,2.103780353,1.822038989,1.959537552,2.593122323,2.706541143,3.168325358,2.717326314,2.712315581,2.856715504,2.866024994,2.87457715,2.573764028,2.57983023,2.815286754,2.66969262,3.120202467,3.848496031,3.677728654,3.903352151,3.874229161,3.326793767,3.030809255,2.755783554,
Broad money growth (annual %),,22.28053435,4.05774483,25.64679415,24.91793494,25.51361682,5.805100876,8.22090304,19.34840426,28.46796657,-0.11925412,19.1468577,16.8716407,28.1315769,17.10062051,12.20323134,28.45633855,21.06040946,19.60579986,16.05595937,17.52177084,19.00494607,20.95883688,20.1369342,13.20077676,20.39530114,19.34394747,22.42142282,22.1830594,20.95096389,18.74320801,22.72374434,20.50231963,25.01884118,17.98466304,15.42876449,12.20193611,29.54333232,11.18137491,21.68036309,18.84551516,16.77526538,2.65916698,10.2175929,13.0850771,9.743586536,16.98502027,18.52859272,38.84126464,29.61983583,9.589222667,18.67018856,14.85649825,21.65800978,16.14032669,
Money (current LCU),182200000,223600000,227900000,294000000,378700000,481400000,506300000,531700000,595800000,739400000,689400000,773500000,831500000,1070600000,1266500000,1313200000,1599500000,1890300000,2147400000,2484400000,2817700000,3145200000,3604400000,4246800000,4827100000,5515400000,6819700000,8524500000,9658900000,11495900000,14009900000,17391300000,20074200000,24993600000,30048400000,32873300000,34791100000,50613326343,44866400000,54402526343,62266159358,72160720000,76411820000,81990349282,95812458809,1.04076E+11,1.18854E+11,1.33525E+11,1.59312E+11,2.01049E+11,2.07498E+11,2.3057E+11,2.53337E+11,3.2058E+11,3.52468E+11,
Money and quasi money (M2) (current LCU),209600000,256300000,266700000,335100000,418600000,525400000,555900000,601600000,718000000,922400000,921300000,1097700000,1282900000,1643800000,1924900000,2159800000,2774400000,3358700000,4017200000,4662200000,5479100000,6520400000,7887000000,9475200000,10726000000,12913600000,15411600000,18867100000,23052400000,27882100000,33108100000,40631500000,48961900000,61211600000,72220300000,83363000000,93534900000,1.21168E+11,1.34717E+11,1.63924E+11,1.94816E+11,2.27497E+11,2.33546E+11,2.57409E+11,2.91091E+11,3.19454E+11,3.73713E+11,4.42957E+11,6.15007E+11,7.97171E+11,8.73613E+11,1.03672E+12,1.19074E+12,1.44863E+12,1.68244E+12,
Money and quasi money (M2) as % of GDP,5.411825598,6.323710988,6.097393551,7.259532062,8.333664974,9.378793456,8.046026688,9.378020119,10.00975854,11.55165951,10.50752737,12.28127043,12.37245588,16.4891156,15.02888878,13.0336131,15.95032779,19.4369213,20.3588072,20.98672059,23.46409248,23.87812666,25.45178845,28.06635071,27.23026211,27.71991585,27.6570239,29.54262182,29.9747744,31.23379897,32.01448519,32.82000953,32.0610892,34.84227183,36.24207114,38.03490362,37.5773463,43.19522673,44.77937144,47.92581083,51.33647424,51.52589583,50.83245038,52.29433504,54.23225475,54.19872632,57.13533566,60.86018588,75.40009579,80.66311212,73.24216062,75.84152262,77.96140403,85.58385662,87.24022847,
Money and quasi money (M2) to total reserves ratio,1.427345245,1.39294467,1.455748565,0.995035334,0.841683647,1.158595124,1.621977459,1.702303235,1.183447511,1.087731423,0.965925369,1.060104584,1.182256531,1.213209095,1.257370169,1.802000806,1.597632096,1.664928738,1.83397234,1.651372212,1.678960884,2.073394114,2.271707807,3.594766024,5.465563818,6.885899052,5.404472644,3.474953319,3.695634191,4.035462667,3.279641619,2.853830314,2.103780353,1.822038989,1.959537552,2.593122323,2.706541143,3.168325358,2.717326314,2.712315581,2.856715504,2.866024994,2.87457715,2.573764028,2.57983023,2.815286754,2.66969262,3.120202467,3.848496031,3.677728654,3.903352151,3.874229161,3.326793767,3.030809255,2.755783554,
